City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
1,Bredasdorp,ZA,64.72,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
2,Jamestown,US,72.95,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Cidreira,BR,66.81,broken clouds,-30.1811,-50.2056,Hotel Castelo
4,Cape Town,ZA,69.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
5,Bodden Town,KY,80.6,scattered clouds,19.2833,-81.25,Will T Place
6,Trincomalee,LK,82.4,broken clouds,8.5711,81.2335,Welcombe Hotel
7,Vila Do Maio,CV,86.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
8,Hermanus,ZA,66.79,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
9,East London,ZA,68.94,clear sky,-33.0153,27.9116,Tu Casa
11,Port Elizabeth,ZA,68.09,few clouds,-33.918,25.5701,39 On Nile Guest House
12,Port Alfred,ZA,68.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
14,Ushuaia,AR,40.62,scattered clouds,-54.8,-68.3,Albatross Hotel
15,Mahebourg,MU,77.29,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
16,Busselton,AU,58.98,broken clouds,-33.65,115.3333,Observatory Guest House
17,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Alize Plage
18,Chicama,PE,61.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
19,Bowmore,US,70.75,overcast clouds,34.9421,-79.3031,
20,Sambava,MG,78.19,clear sky,-14.2667,50.1667,Melrose
21,Jumla,NP,60.4,overcast clouds,29.2747,82.1838,Royal Garden Hotel
23,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
27,Brae,GB,51.49,overcast clouds,60.3964,-1.353,Busta House Hotel
28,Kamenka,RU,59.63,light rain,51.3223,42.7678,
29,Sananduva,BR,63.75,broken clouds,-27.9497,-51.8067,São José Palace Hotel
31,Georgetown,MY,85.98,few clouds,5.4112,100.3354,Cititel Penang
33,Kasempa,ZM,77.92,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
34,Rock Sound,BS,76.08,very heavy rain,24.9,-76.2,Pink Corral Bay Property
35,Mar Del Plata,AR,54.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
36,Margate,GB,68.11,clear sky,51.3813,1.3862,Premier Inn Margate hotel
37,Hithadhoo,MV,83.43,broken clouds,-0.6,73.0833,Scoop Guest House
38,Coquimbo,CL,51.53,overcast clouds,-29.9533,-71.3436,Hotel San Juan
39,Nacaome,HN,80.83,broken clouds,13.5361,-87.4875,Royal Palace hotel
40,Feldbach,AT,79.68,overcast clouds,46.9531,15.8883,Pfeiler's Bürgerstüberl - Hotel
41,Pauini,BR,83.44,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
42,Kalabo,ZM,83.75,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
43,Korla,CN,73.38,clear sky,41.7597,86.1469,Gulisitan Hotel
44,Los Llanos De Aridane,ES,69.55,broken clouds,28.6585,-17.9182,Valle Aridane
45,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
46,Ankazoabo,MG,80.8,few clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
47,Codrington,AU,54.81,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
48,Kiboga,UG,65.35,light rain,0.9161,31.7742,Marie Lustenberger Guest House
49,Faya,SA,84.31,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
50,Mezica,SI,75.36,overcast clouds,46.5214,14.8544,Gostišče Krivograd
51,Zaysan,KZ,70.02,overcast clouds,47.4667,84.8667,Ерлан үй
52,Salta,AR,59.59,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
55,Carnarvon,AU,68.04,clear sky,-24.8667,113.6333,Hospitality Carnarvon
56,Kashary,RU,57.72,light rain,49.04,41.0056,Гостиница N 1
57,Chuy,UY,65.37,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
59,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Central
60,Niort,FR,80.62,overcast clouds,46.3333,-0.3333,Hôtel Première Classe Niort La Crèche
61,Trinidad,BO,78.78,few clouds,-14.8333,-64.9,Hotel Piesta
62,Manavalakurichi,IN,80.38,overcast clouds,8.1333,77.3,Jebinrio home
63,Grand-Lahou,CI,76.12,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
64,General Roca,AR,52.59,clear sky,-39.0333,-67.5833,Hotel El Recreo
65,Kavaratti,IN,80.26,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
66,Necochea,AR,52.56,clear sky,-38.5473,-58.7368,dyd -mar Hotel
67,Pangoa,PE,79.95,clear sky,-12.1167,-73.0,
68,Totskoye,RU,58.24,overcast clouds,52.5248,52.7623,Gostinitsa
69,Tarnow,PL,70.05,scattered clouds,50.0138,20.987,Hotel Tarnovia
70,Santiago,CL,62.29,haze,-33.4569,-70.6483,Hotel Panamericano
71,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
72,Saint Anthony,US,69.93,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
73,Vardo,NO,40.98,few clouds,70.3705,31.1107,Vardø Hotel AS
74,Arraial Do Cabo,BR,78.66,few clouds,-22.9661,-42.0278,Pousada Porto Praia
75,French Harbor,HN,83.07,few clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
76,Mercedes,AR,60.64,clear sky,-34.6515,-59.4307,Posada del Inti Centro
77,Kuytun,RU,58.32,few clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
78,Plettenberg Bay,ZA,63.34,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
80,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
81,Praia,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
82,Mariakani,KE,82.71,broken clouds,-3.8633,39.4736,The County Luxury Comfort Hotels Ltd
86,Punta Arenas,CL,42.91,few clouds,-53.15,-70.9167,Hotel Hain
87,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
88,Calvinia,ZA,62.82,clear sky,-31.4707,19.776,Die Lemoenhuis
89,Skibbereen,IE,57.11,clear sky,51.55,-9.2667,The West Cork Hotel
90,Aksarka,RU,43.9,overcast clouds,66.5606,67.7975,
91,Cayenne,GF,84.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
92,Marsabit,KE,77.14,broken clouds,2.3284,37.9899,Chicho Hotel
93,Ponta Do Sol,PT,76.71,few clouds,32.6667,-17.1,Hotel do Campo
94,Solano,US,61.27,clear sky,38.2333,-121.9511,Westwind Inn
95,Madingou,CG,86.22,light rain,-4.1536,13.55,HOTEL KIM ELISA
96,Lamu,KE,84.42,scattered clouds,-2.2717,40.902,Lamu House
98,Viedma,AR,55.62,clear sky,-40.8135,-62.9967,Hotel Cristal
99,Ilebo,CD,86.11,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
100,Dimbokro,CI,82.35,overcast clouds,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
101,Rapsani,GR,81.12,broken clouds,39.902,22.5485,Βουνό ΠΡΌΠΟΔΕΣ Ολύμπου
102,Castro,BR,64.76,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
104,Jaru,BR,83.73,clear sky,-10.4389,-62.4664,Hotel Paraná
105,Mbini,GQ,82.92,moderate rain,1.574,9.6134,
108,Pisco,PE,61.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
109,Vestmannaeyjar,IS,43.79,broken clouds,63.4427,-20.2734,Glamping & Camping
111,Torbay,CA,40.28,light intensity shower rain,47.6666,-52.7314,Gallows Cove
112,Laguna,US,62.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
114,Turukhansk,RU,51.67,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
115,Richards Bay,ZA,70.52,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
116,Salinas,US,53.96,fog,36.6777,-121.6555,Laurel Inn & Conference Center
117,Touros,BR,85.01,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
118,Lieksa,FI,49.62,scattered clouds,63.3167,30.0167,Kaatrahovi
119,Karatau,KZ,59.67,moderate rain,43.1667,70.4667,Baza Zika
120,Baoro,CF,86.97,overcast clouds,5.6667,15.9667,
124,Grindavik,IS,48.15,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
126,Kruisfontein,ZA,65.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
127,Polovinnoye,RU,58.93,overcast clouds,54.7914,65.9864,
128,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
130,Bambous Virieux,MU,77.25,few clouds,-20.3428,57.7575,Casa Tia Villa
131,Jiwani,PK,88.29,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
132,Montecristi,EC,73.22,overcast clouds,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
133,Chapais,CA,53.38,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
135,Dingle,PH,79.54,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
136,Hamilton,US,76.59,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
137,Minas Novas,BR,73.98,overcast clouds,-17.2186,-42.5903,J K Palace Hotel
138,Manono,CD,88.68,broken clouds,-7.3,27.4167,Hotel hewa bora
139,Miraflores,MX,65.03,broken clouds,19.2167,-98.8083,Hotel Mansión
140,Montbrison,FR,79.14,broken clouds,45.6667,4.0833,Hostellerie Del Matin Calme Hôtel à Montbrison
141,Lumeje,AO,83.61,clear sky,-11.55,20.7833,
142,Sao Filipe,CV,78.31,few clouds,14.8961,-24.4956,Hotel Xaguate
144,Cururupu,BR,84.42,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
145,Ostrovnoy,RU,40.84,overcast clouds,68.0531,39.5131,
146,Chake Chake,TZ,81.46,overcast clouds,-5.2459,39.7666,Hotel Archipelago
147,Salinopolis,BR,82.17,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
148,Markivka,UA,60.58,overcast clouds,49.5229,39.5705,
149,Swellendam,ZA,66.45,scattered clouds,-34.0226,20.4417,De Kloof Heritage Estate boutique Hotel & SPA
150,Ouadda,CF,89.64,light rain,8.0777,22.4007,
151,Uige,AO,84.22,scattered clouds,-7.6087,15.0613,Hotel Catraio
152,Sergeyevka,KZ,58.32,moderate rain,53.88,67.4158,Amina
154,Vestmanna,FO,47.32,light rain,62.1564,-7.1664,Vestmanna Camping
157,Acarau,BR,80.38,overcast clouds,-2.8856,-40.12,castelo pizzaria
159,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
160,Ambovombe,MG,73.26,clear sky,-25.1667,46.0833,RELAHARA
161,Bubaque,GW,78.42,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
162,Apatou,GF,77.79,moderate rain,5.155,-54.3472,Yoto quensha
163,Vogan,TG,87.62,overcast clouds,6.3333,1.5333,Hotel Sitsope Phenix
164,Aleksandrov Gay,RU,63.84,overcast clouds,50.147,48.5704,Gostinitsa
165,Lixourion,GR,73.4,few clouds,38.2019,20.4314,Hotel Summery
167,Padang,ID,84.25,clear sky,-0.9492,100.3543,Mercure Padang
168,Hornepayne,CA,63.75,overcast clouds,49.2138,-84.7705,Kay-Vee Lodge Ltd
169,Vigrestad,NO,50.95,scattered clouds,58.5667,5.7,Brusand Camping
170,Agadir,MA,81.05,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
171,Diamantino,BR,88.02,clear sky,-14.4086,-56.4461,Hotel Delta
172,Bengkulu,ID,80.04,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
174,Ilek,RU,60.8,overcast clouds,51.5271,53.3831,Avtostantsiya
175,Caluquembe,AO,78.73,few clouds,-13.7833,14.6833,Hotel Kalukembe
176,Saint George,US,55.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
177,Avesta,SE,61.12,broken clouds,60.1455,16.1679,Avesta Stadshotell AB
178,Paranagua,BR,74.01,overcast clouds,-25.52,-48.5092,Hotel Camboa Paranaguá
179,Inhambane,MZ,75.29,clear sky,-23.865,35.3833,Oceano
180,Nampula,MZ,80.55,scattered clouds,-15.1165,39.2666,Ruby Backpackers
181,Puerto Ayacucho,VE,84.65,moderate rain,5.6639,-67.6236,Posada Turistica Manapiare
182,Camabatela,AO,74.05,overcast clouds,-8.1881,15.375,Comércio e Prestação de Serviços
183,Torrijos,ES,82.08,scattered clouds,39.9819,-4.2835,Hotel La Salve
184,Santa Ines,BR,85.51,broken clouds,-3.6667,-45.38,Palace hotel
185,Asti,IT,83.57,clear sky,44.8979,8.2068,Palio
187,Atri,IT,77.07,overcast clouds,42.5778,13.9848,Hotel Du Parc
190,Mindelo,CV,85.55,clear sky,16.8901,-24.9804,Hotel Gaudi
191,Sistranda,NO,44.56,overcast clouds,63.7256,8.834,Hotell Frøya
192,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
193,Ribeira Grande,PT,61.2,drizzle rain,38.5167,-28.7,Quinta da Meia Eira
194,Ploemeur,FR,73.85,broken clouds,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
195,Casablanca,MA,82.62,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
196,Concepcion Del Uruguay,AR,62.26,clear sky,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
197,Harper,LR,82.38,light rain,4.375,-7.7169,Screensaver
198,Ugoofaaru,MV,80.73,light rain,5.6667,73.0,Ungoofaaru Inn
199,Kem,RU,42.01,overcast clouds,64.9555,34.5793,Kuzova
200,Humaita,BR,83.93,broken clouds,-7.5061,-63.0208,Corrêa Hotel
201,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
203,Coleraine,GB,66.11,broken clouds,55.1333,-6.6667,The Lodge Hotel
