City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Narsaq,60.9167,-46.05,43.02,89,100,5.82,GL,2022-05-12 14:33:32
1,Arraial Do Cabo,-22.9661,-42.0278,71.46,88,100,9.22,BR,2022-05-12 14:33:33
2,Torbay,47.6666,-52.7314,61.75,87,75,19.57,CA,2022-05-12 14:36:47
3,Jamestown,42.097,-79.2353,76.01,36,0,8.05,US,2022-05-12 14:36:48
4,Port Elizabeth,-33.918,25.5701,68.29,71,0,11.5,ZA,2022-05-12 14:33:34
5,Saint-Philippe,-21.3585,55.7679,76.59,76,76,8.25,RE,2022-05-12 14:36:49
6,Wawa,9.9022,4.4192,99.07,33,76,4.56,NG,2022-05-12 14:36:49
7,Hobyo,5.3505,48.5268,83.35,77,80,26.19,SO,2022-05-12 14:33:36
8,Longyearbyen,78.2186,15.6401,21.04,63,0,14.97,SJ,2022-05-12 14:33:36
9,Bredasdorp,-34.5322,20.0403,63.91,49,0,13.18,ZA,2022-05-12 14:33:37
10,Adrar,20.5022,-10.0711,106.75,7,0,9.55,MR,2022-05-12 14:33:37
11,Cape Town,-33.9258,18.4232,66.11,65,75,18.41,ZA,2022-05-12 14:31:57
12,Luderitz,-26.6481,15.1594,63.21,68,0,19.08,NA,2022-05-12 14:33:38
13,Laguna,38.421,-121.4238,52.97,73,0,6.91,US,2022-05-12 14:33:39
14,Namibe,-15.1961,12.1522,77.63,69,0,13.8,AO,2022-05-12 14:33:39
15,Frankfort,-27.2667,28.4833,64.47,31,0,5.08,ZA,2022-05-12 14:33:40
16,Mehamn,71.0357,27.8492,40.91,93,100,21.07,NO,2022-05-12 14:33:40
17,Ninotsminda,41.2646,43.5916,40.33,77,92,9.01,GE,2022-05-12 14:33:41
18,Chuy,-33.6971,-53.4616,63.05,57,23,8.57,UY,2022-05-12 14:33:41
19,Hithadhoo,-0.6,73.0833,83.66,71,99,14.12,MV,2022-05-12 14:33:42
20,Mitsamiouli,-11.3847,43.2844,86.29,54,20,11.5,KM,2022-05-12 14:33:42
21,Makhachkala,42.9764,47.5024,62.58,53,100,5.61,RU,2022-05-12 14:33:43
22,Fereydun Kenar,36.6864,52.5225,66.42,77,0,0.0,IR,2022-05-12 14:33:43
